100	8
107	304
34	459
130	288
399	8
396	111
442	48
127	64
226	112
219	351
480	32
34	34
368	255
291	247
160	144
136	207
480	232
504	368
226	187
256	418
388	352
476	464
256	424
256	64
480	496
226	387
106	64
160	88
265	64
419	63
256	256
125	511
338	416
256	111
256	352
338	322
416	447
148	130
206	96
226	207
316	492
358	254
160	416
136	322
399	387
136	282
133	328
206	449
399	130
72	319
442	231
256	265
256	439
256	32
345	85
292	160
165	461
464	180
195	127
480	334
416	99
148	207
195	161
442	148
459	447
72	481
256	435
144	187
176	441
352	188
195	464
399	147
260	370
340	144
480	265
160	70
156	64
256	256
351	64
357	113
464	255
233	432
226	498
34	172
385	387
405	459
192	495
34	459
256	201
264	457
195	372
265	64
372	416
34	322
88	275
176	111
485	160
358	328
165	200
34	160
439	459
64	387
34	496
160	315
256	176
70	322
302	317
399	447
72	117
256	70
176	276
51	12
192	271
447	262
160	62
459	401
67	111
44	496
34	188
352	250
399	187
56	46
10	428
306	57
176	320
480	88
345	481
195	114
280	433
136	6
34	399
480	275
160	111
136	322
459	64
136	344
468	186
160	10
480	250
480	168
192	453
34	496
268	368
256	48
334	464
480	57
148	489
34	99
456	152
480	387
160	192
256	449
256	480
89	226
291	88
160	64
480	316
256	416
165	292
195	320
447	447
256	64
256	34
296	448
136	399
176	511
256	64
402	304
56	48
256	418
165	424
351	144
176	208
280	400
136	26
160	64
248	447
368	48
256	176
419	476
231	88
400	357
480	399
195	231
400	112
256	87
399	438
399	160
34	320
292	280
399	80
156	447
433	411
106	144
64	207
176	358
480	410
160	152
106	291
72	368
184	70
399	505
243	73
189	192
171	498
328	159
256	495
256	496
219	232
176	178
169	484
399	464
439	416
480	164
256	352
476	416
416	453
399	31
480	280
136	504
20	144
430	160
256	339
447	73
399	336
152	27
399	448
160	111
136	85
136	336
256	447
442	136
256	306
504	362
316	70
34	302
256	316
256	34
256	368
316	447
34	416
160	490
111	218
160	328
256	250
256	240
328	63
64	144
399	316
192	111
176	34
56	196
416	388
256	185
256	100
447	64
256	195
147	114
195	130
442	258
442	264
